cell_type,B cell,B cell memory,B cell naive,B cell plasma,Cancer associated fibroblast,Class-switched memory B cell,Common lymphoid progenitor,Common myeloid progenitor,Endothelial cell,Eosinophil,Granulocyte-monocyte progenitor,Hematopoietic stem cell,immune score,Macrophage,Macrophage M1,Macrophage M2,Mast cell,microenvironment score,Monocyte,Myeloid dendritic cell,Myeloid dendritic cell activated,Neutrophil,NK cell,Plasmacytoid dendritic cell,stroma score,T cell CD4+ (non-regulatory),T cell CD4+ central memory,T cell CD4+ effector memory,T cell CD4+ memory,T cell CD4+ naive,T cell CD4+ Th1,T cell CD4+ Th2,T cell CD8+,T cell CD8+ central memory,T cell CD8+ effector memory,T cell CD8+ naive,T cell gamma delta,T cell NK,T cell regulatory (Tregs)
TCGA-10-0926,0.075226238,0.007100202,0.006899204,0.029661693,0.062756732,0.003737255,0.015235824,0,0.026595015,0,1.14E-17,0.05010681,0.079395421,0.025718622,0.01776777,0,0.000675834,0.125623404,0.011828759,0.004659088,0.0733747,0.000984589,0,0.047911276,0.046227983,3.35E-19,3.77E-19,8.52E-18,7.26E-20,2.26E-19,0.020298099,0.065782108,6.16E-19,2.55E-20,1.59E-18,0.003954297,0,0.072531944,0
TCGA-10-0927,0.036217501,7.59E-19,0,0.047229648,0.13578429,0,0.017861666,0.003515645,0.004447527,0,0,0.132534644,0.031412172,0.004750893,0.00367111,4.98E-05,0.006149863,0.102270878,0,0,0.054053759,2.68E-19,0,0.021316337,0.070858706,0,0,0,2.49E-18,1.11E-18,0.051008563,0.038190977,7.49E-20,0.006001275,0,0.005544202,0,0.077658047,0
TCGA-10-0931,0.043919743,4.24E-19,2.41E-18,0.018132336,0.016762011,0.014203127,0.029301956,0,4.31E-19,0,0,0.016361287,0.072773863,0.041622486,0.029425237,0.009242654,0.007095289,0.081217774,0.016523277,0,0.096262372,0,4.00E-18,0.057463356,0.008443911,7.01E-19,2.06E-18,3.71E-18,3.86E-19,1.30E-18,0.032487146,0.157475694,1.11E-18,0.011023113,0,0.000635272,0,0.052074833,6.90E-18
TCGA-10-0933,0.005485809,0,0,0.007909348,0.05375916,0.000637291,0.021523355,1.38E-19,0.005051286,0,3.84E-19,0.064652653,0.017204705,0.00492202,0.007257994,5.04E-19,0.004018675,0.047231812,1.69E-18,1.27E-19,0.029973141,3.56E-19,6.97E-19,0.025610031,0.030027107,3.95E-18,3.39E-18,2.42E-18,0,0,0.008226998,0.124415248,0.011380555,0.014939041,5.25E-19,0.004803018,1.14E-18,0.06594828,0
TCGA-10-0937,0.055789212,0,4.42E-19,0.017449081,0.040986489,0.019618057,0.020793936,4.38E-18,2.22E-19,3.53E-18,0,0.02412841,0.11016242,0.06908257,0.058336786,6.35E-19,0.005152978,0.132653024,0.020546747,0.014672123,0.166069524,0,5.22E-18,0.104198179,0.022490603,0,0,0.024462108,2.75E-21,0,0.054358948,0.102564436,0,0.045222085,2.49E-18,0,0,0.067784793,8.60E-20
TCGA-13-0720,0.01230697,0,0,0.020147935,0.015698798,0.009886204,0.008313831,2.41E-19,0,0,0.002953815,0,0.024193409,0.015885764,0.00700573,1.63E-19,0.007384875,0.033713569,5.36E-18,0.000712503,0.032657594,0,6.58E-18,0.032952074,0.00952016,1.63E-18,0.015460092,0.021277068,0,0.000502947,0.013813496,0.007105197,0,3.97E-19,0,1.34E-19,2.70E-18,0.065720741,0
TCGA-13-0725,0.062912018,0.001577727,0,0.023090392,0.033466723,0.017227441,0.011128956,0.001601241,0.017975191,0.001675192,0.031504349,0.118131804,0.131469893,0.076853486,0.056238745,0.019912791,0.011598842,0.172364754,0.039570528,0.004594775,0.159335952,0,0,0.08218153,0.040894861,8.38E-18,5.59E-18,0.024762511,2.88E-20,8.13E-19,0.033736617,0.135035349,0,0.02585208,1.10E-18,0,0,0.086901831,0
TCGA-13-0726,0.006087811,0,4.25E-18,0.021800639,0.048377272,0.009319662,0.01688216,0,1.16E-19,3.47E-19,0,0.048705112,0.060581178,0.039407828,0.02340044,0.005626655,0.011480163,0.087346358,0.009713515,0.002515297,0.104216343,9.88E-19,0.021667153,0.061067592,0.02676518,2.84E-19,2.13E-18,0.025754607,1.12E-19,0.004613372,0.027501039,0.029526719,1.84E-20,0.020870141,0.003264531,0.000432975,0,0.028232312,0.001912142
TCGA-13-0762,0.038627624,3.96E-20,2.18E-18,0.046285171,8.92E-18,0.022992205,0.008525391,0,0,0,5.22E-19,8.91E-20,0.052144305,0.021011838,0.009220019,0.012525538,0.008145026,0.052144305,0,0.010431969,0,1.47E-18,0,0.024273142,4.46E-18,0,0.021071228,0.0024063,4.69E-19,2.63E-18,0.055150934,0.005012131,1.25E-18,0,1.61E-18,0.009198795,0,0.068400096,0
TCGA-13-0766,0.062527045,0.001412485,0,0.0389404,0.045327266,5.02E-18,0.033090933,0,0,0,0.010532122,0.044265612,0.102166727,0.066265706,0.0421496,0.006742075,0.000482349,0.126438655,0.02397499,0,0.142037477,0,0,0.014614782,0.024271928,0,0,0,0.000482242,1.57E-19,0.010361217,0.190799359,0,0.008126011,1.55E-18,0.001388626,5.74E-18,0.069375988,1.53E-18
TCGA-13-0797,0.088132757,3.88E-18,8.75E-19,0.015539083,0.016145815,0.039274227,0.017059877,0.000387394,6.62E-20,3.27E-18,0,0.030932848,0.127661145,0.04226249,0.030983891,0.013977958,0.01388253,0.135964616,0.016303344,0.006246681,0.162125476,2.87E-20,0,0.068607769,0.008303471,1.69E-18,2.92E-19,0.044057755,0,0.000114629,0.029203027,0.100081866,0.024663915,0.043469537,0.013028942,0,3.12E-20,0.045448748,0.014378102
TCGA-13-0799,0.043472119,0,3.64E-18,0.023625537,0.01584447,0.009333272,0.036364283,0,0.000215042,3.24E-18,0,0.005274861,0.042026863,0.005189854,0.005753707,0.004694993,0.008143421,0.051775816,0,0.006234901,0.083755336,1.03E-18,4.09E-18,0.028669344,0.009748953,1.27E-18,0.022919368,0.0030139,0,0,0.044051412,0.112906254,0,0,7.73E-20,0.000775107,0,0.028458028,1.20E-18
TCGA-13-0800,0.018802068,0.001803083,3.27E-19,0.006495403,0.011008376,0.000406943,0.003756001,0,0,4.76E-19,8.88E-19,0.048169939,0.017445052,3.69E-18,1.19E-18,0.003631214,0.00736551,0.024103602,8.03E-18,6.00E-19,1.36E-17,5.15E-19,1.49E-17,8.51E-20,0.00665855,7.08E-19,0,8.85E-19,0,0,0.015688104,0.06860073,5.82E-19,4.31E-18,0,7.21E-20,0,0.095310888,4.18E-18
